,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
9171,Sealed Graffiti | Recoil M4A1-S (Cash Green),,d2d2d2,31.92,29.51,1,LOW_SALES_3PLUS_MONTHS,2.0,3,15,17,26,,,,,,0,0
9172,Sealed Graffiti | Recoil M4A1-S (Desert Amber),,d2d2d2,3.0,2.15,1,LOW_SALES_3PLUS_MONTHS,8.0,0,1,2,13,,,,,,0,0
9173,Sealed Graffiti | Recoil M4A1-S (Dust Brown),,d2d2d2,2.81,2.73,1,LOW_SALES_3PLUS_MONTHS,9.0,0,1,3,15,,,,,,0,0
9174,Sealed Graffiti | Recoil M4A1-S (Frog Green),,d2d2d2,12.0,10.97,1,LOW_SALES_3PLUS_MONTHS,5.0,0,2,6,15,,,,,,0,0
9175,Sealed Graffiti | Recoil M4A1-S (Jungle Green),,d2d2d2,2.16,1.1,1,LOW_SALES_3PLUS_MONTHS,10.0,0,1,4,17,,,,,,0,0
9176,Sealed Graffiti | Recoil M4A1-S (Monarch Blue),,d2d2d2,2.24,1.67,1,LOW_SALES_3PLUS_MONTHS,15.0,0,0,1,4,,,,,,0,0
9177,Sealed Graffiti | Recoil M4A1-S (Monster Purple),,d2d2d2,4.03,1.6800000000000002,1,LOW_SALES_3PLUS_MONTHS,6.0,1,1,7,14,,,,,,0,0
9178,Sealed Graffiti | Recoil M4A1-S (Shark White),,d2d2d2,44.47,43.9,1,LOW_SALES_3PLUS_MONTHS,6.0,0,3,12,49,,,,,,0,0
9179,Sealed Graffiti | Recoil M4A1-S (Tiger Orange),b0c3d9,d2d2d2,6.25,2.01,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,0,9,,graffiti,sealed graffiti,base grade,normal,0,0
9180,Sealed Graffiti | Recoil M4A1-S (Tracer Yellow),b0c3d9,d2d2d2,2.62,1.67,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,0,10,,graffiti,sealed graffiti,base grade,normal,0,0
9181,Sealed Graffiti | Recoil M4A1-S (War Pig Pink),,d2d2d2,6.46,1.37,1,LOW_SALES_3PLUS_MONTHS,12.0,0,1,7,13,,,,,,0,0
9182,Sealed Graffiti | Recoil M4A1-S (Wire Blue),,d2d2d2,2.8,1.04,1,LOW_SALES_3PLUS_MONTHS,14.0,1,1,1,5,,,,,,0,0
9183,Sealed Graffiti | Recoil M4A4 (Battle Green),,d2d2d2,2.58,1.6600000000000001,1,LOW_SALES_3PLUS_MONTHS,11.0,0,1,3,17,,,,,,0,0
9184,Sealed Graffiti | Recoil M4A4 (Bazooka Pink),b0c3d9,d2d2d2,2.8200000000000003,1.6600000000000001,1,LOW_SALES_3PLUS_MONTHS,7.0,0,4,9,12,,graffiti,sealed graffiti,base grade,normal,0,0
9185,Sealed Graffiti | Recoil M4A4 (Brick Red),b0c3d9,d2d2d2,2.5300000000000002,2.27,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,2,16,,graffiti,sealed graffiti,base grade,normal,0,0
9186,Sealed Graffiti | Recoil M4A4 (Cash Green),,d2d2d2,3.13,1.6800000000000002,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,6,11,,,,,,0,0
9187,Sealed Graffiti | Recoil M4A4 (Desert Amber),b0c3d9,d2d2d2,2.01,1.74,1,LOW_SALES_3PLUS_MONTHS,12.0,0,1,5,25,,graffiti,sealed graffiti,base grade,normal,0,0
9188,Sealed Graffiti | Recoil M4A4 (Dust Brown),,d2d2d2,4.37,4.14,1,LOW_SALES_3PLUS_MONTHS,8.0,0,1,5,13,,,,,,0,0
9189,Sealed Graffiti | Recoil M4A4 (Jungle Green),b0c3d9,d2d2d2,2.8,1.6099999999999999,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,2,22,,graffiti,sealed graffiti,base grade,normal,0,0
9190,Sealed Graffiti | Recoil M4A4 (SWAT Blue),b0c3d9,d2d2d2,5.42,1.09,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,2,9,,graffiti,sealed graffiti,base grade,normal,0,0
9191,Sealed Graffiti | Recoil M4A4 (Tiger Orange),,d2d2d2,3.15,1.78,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,1,14,,,,,,0,0
9192,Sealed Graffiti | Recoil M4A4 (Tracer Yellow),,d2d2d2,2.77,1.6600000000000001,1,LOW_SALES_3PLUS_MONTHS,8.0,0,1,5,40,,,,,,0,0
9193,Sealed Graffiti | Recoil M4A4 (Violent Violet),b0c3d9,d2d2d2,2.2,2.14,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,0,11,,graffiti,sealed graffiti,base grade,normal,0,0
9194,Sealed Graffiti | Recoil M4A4 (War Pig Pink),b0c3d9,d2d2d2,2.14,1.6800000000000002,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,5,26,,graffiti,sealed graffiti,base grade,normal,0,0
9195,Sealed Graffiti | Recoil M4A4 (Wire Blue),b0c3d9,d2d2d2,7.68,1.62,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,1,8,,graffiti,sealed graffiti,base grade,normal,0,0
9196,Sealed Graffiti | Recoil MAC-10 (Battle Green),,d2d2d2,2.35,2.23,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,3,14,,,,,,0,0
9197,Sealed Graffiti | Recoil MAC-10 (Bazooka Pink),,d2d2d2,2.8,2.32,1,LOW_SALES_3PLUS_MONTHS,4.0,0,0,3,34,,,,,,0,0
9198,Sealed Graffiti | Recoil MAC-10 (Blood Red),,d2d2d2,3.17,2.33,1,LOW_SALES_3PLUS_MONTHS,9.0,0,0,3,27,,,,,,0,0
9199,Sealed Graffiti | Recoil MAC-10 (Princess Pink),,d2d2d2,1.9500000000000002,1.75,1,LOW_SALES_3PLUS_MONTHS,14.0,2,2,5,17,,,,,,0,0
9200,Sealed Graffiti | Recoil MAC-10 (Shark White),,d2d2d2,10.97,4.4,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,2,24,,,,,,0,0
9201,Sealed Graffiti | Recoil MAC-10 (SWAT Blue),,d2d2d2,2.21,1.69,1,LOW_SALES_3PLUS_MONTHS,11.0,0,1,6,41,,,,,,0,0
9202,Sealed Graffiti | Recoil MAC-10 (Tiger Orange),,d2d2d2,2.26,1.4,1,LOW_SALES_3PLUS_MONTHS,10.0,0,7,13,36,,,,,,0,0
9203,Sealed Graffiti | Recoil MAC-10 (Wire Blue),,d2d2d2,4.03,1.04,1,LOW_SALES_3PLUS_MONTHS,7.0,0,1,2,19,,,,,,0,0
9204,Sealed Graffiti | Recoil MP7 (Bazooka Pink),,d2d2d2,2.48,2.01,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,0,21,,,,,,0,0
9205,Sealed Graffiti | Recoil MP7 (Frog Green),,d2d2d2,3.29,2.93,1,LOW_SALES_3PLUS_MONTHS,13.0,0,0,2,7,,,,,,0,0
9206,Sealed Graffiti | Recoil MP7 (Jungle Green),,d2d2d2,3.49,0.89,1,LOW_SALES_3PLUS_MONTHS,16.0,0,0,2,5,,,,,,0,0
9207,Sealed Graffiti | Recoil MP7 (Monarch Blue),,d2d2d2,2.18,1.6,1,LOW_SALES_3PLUS_MONTHS,9.0,0,0,1,14,,,,,,0,0
9208,Sealed Graffiti | Recoil MP7 (Princess Pink),,d2d2d2,2.15,1.6800000000000002,1,LOW_SALES_3PLUS_MONTHS,9.0,0,2,2,15,,,,,,0,0
9209,Sealed Graffiti | Recoil MP7 (Shark White),,d2d2d2,2.38,2.35,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,3,26,,,,,,0,0
9210,Sealed Graffiti | Recoil MP7 (SWAT Blue),b0c3d9,d2d2d2,2.21,2.08,1,LOW_SALES_3PLUS_MONTHS,8.0,0,0,0,10,,graffiti,sealed graffiti,base grade,normal,0,0
9211,Sealed Graffiti | Recoil MP7 (Tiger Orange),b0c3d9,d2d2d2,4.04,1.6800000000000002,1,LOW_SALES_3PLUS_MONTHS,9.0,0,2,4,17,,graffiti,sealed graffiti,base grade,normal,0,0
9212,Sealed Graffiti | Recoil MP9 (Bazooka Pink),,d2d2d2,2.21,1.6600000000000001,1,LOW_SALES_3PLUS_MONTHS,11.0,0,2,6,20,,,,,,0,0
9213,Sealed Graffiti | Recoil MP9 (Blood Red),,d2d2d2,6.27,6.06,1,LOW_SALES_3PLUS_MONTHS,6.0,0,1,2,20,,,,,,0,0
9214,Sealed Graffiti | Recoil MP9 (Brick Red),,d2d2d2,7.53,2.4,1,LOW_SALES_3PLUS_MONTHS,6.0,0,5,6,23,,,,,,0,0
9215,Sealed Graffiti | Recoil MP9 (Cash Green),,d2d2d2,4.05,2.42,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,2,20,,,,,,0,0
