,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
9260,Sealed Graffiti | Karambit (Desert Amber),b0c3d9,d2d2d2,0.03,0.03,0,,3992.0,65.0,397.0,2434.0,9718.0,,graffiti,sealed graffiti,base grade,normal,0,0
9261,Sealed Graffiti | Karambit (Dust Brown),b0c3d9,d2d2d2,0.03,0.03,0,,5900.0,74.0,391.0,2519.0,10654.0,,graffiti,sealed graffiti,base grade,normal,0,0
9262,Sealed Graffiti | Karambit (Frog Green),b0c3d9,d2d2d2,0.03,0.03,0,,2787.0,63.0,1465.0,3202.0,10837.0,,graffiti,sealed graffiti,base grade,normal,0,0
9263,Sealed Graffiti | Karambit (Jungle Green),b0c3d9,d2d2d2,0.03,0.03,0,,4667.0,57.0,1009.0,2978.0,10349.0,,graffiti,sealed graffiti,base grade,normal,0,0
9264,Sealed Graffiti | Karambit (Monarch Blue),b0c3d9,d2d2d2,0.03,0.03,0,,2214.0,28.0,2034.0,3987.0,12139.0,,graffiti,sealed graffiti,base grade,normal,0,0
9265,Sealed Graffiti | Karambit (Monster Purple),b0c3d9,d2d2d2,0.03,0.03,0,,5279.0,65.0,572.0,2327.0,8243.0,,graffiti,sealed graffiti,base grade,normal,0,0
9266,Sealed Graffiti | Karambit (Princess Pink),b0c3d9,d2d2d2,0.03,0.03,0,,4412.0,74.0,632.0,2472.0,9555.0,,graffiti,sealed graffiti,base grade,normal,0,0
9267,Sealed Graffiti | Karambit (Shark White),b0c3d9,d2d2d2,0.03,0.03,0,,2912.0,67.0,586.0,2261.0,9388.0,,graffiti,sealed graffiti,base grade,normal,0,0
9268,Sealed Graffiti | Karambit (SWAT Blue),b0c3d9,d2d2d2,0.03,0.03,0,,2340.0,61.0,2208.0,3951.0,11190.0,,graffiti,sealed graffiti,base grade,normal,0,0
9269,Sealed Graffiti | Karambit (Tiger Orange),b0c3d9,d2d2d2,0.03,0.03,0,,3937.0,115.0,850.0,2731.0,9225.0,,graffiti,sealed graffiti,base grade,normal,0,0
9270,Sealed Graffiti | Karambit (Tracer Yellow),b0c3d9,d2d2d2,0.03,0.03,0,,2572.0,57.0,1338.0,2916.0,11280.0,,graffiti,sealed graffiti,base grade,normal,0,0
9271,Sealed Graffiti | Karambit (Violent Violet),b0c3d9,d2d2d2,0.03,0.03,0,,2743.0,115.0,4644.0,6651.0,13384.0,,graffiti,sealed graffiti,base grade,normal,0,0
9272,Sealed Graffiti | Karambit (War Pig Pink),b0c3d9,d2d2d2,0.03,0.03,0,,6116.0,91.0,636.0,2898.0,9744.0,,graffiti,sealed graffiti,base grade,normal,0,0
9273,Sealed Graffiti | Karambit (Wire Blue),b0c3d9,d2d2d2,0.03,0.03,0,,2206.0,63.0,549.0,3520.0,10982.0,,graffiti,sealed graffiti,base grade,normal,0,0
9274,Sealed Graffiti | Kawaii Killer CT,8847ff,d2d2d2,2.48,1.9500000000000002,0,,40.0,15.0,93.0,252.0,1015.0,,graffiti,sealed graffiti,remarkable,normal,0,0
9275,Sealed Graffiti | Kawaii Killer Terrorist,8847ff,d2d2d2,1.98,2.37,0,,31.0,13.0,79.0,239.0,896.0,,graffiti,sealed graffiti,remarkable,normal,0,0
9276,Sealed Graffiti | Keep the Change (Battle Green),b0c3d9,d2d2d2,0.03,0.03,0,,18561.0,388.0,3617.0,12280.0,48749.0,,graffiti,sealed graffiti,base grade,normal,0,0
9277,Sealed Graffiti | Keep the Change (Cash Green),b0c3d9,d2d2d2,0.03,0.03,0,,23790.0,477.0,4877.0,14604.0,57040.0,,graffiti,sealed graffiti,base grade,normal,0,0
9278,Sealed Graffiti | Keep the Change (Frog Green),b0c3d9,d2d2d2,0.03,0.03,0,,25197.0,407.0,3480.0,11451.0,42327.0,,graffiti,sealed graffiti,base grade,normal,0,0
9279,Sealed Graffiti | Keep the Change (Jungle Green),b0c3d9,d2d2d2,0.03,0.03,0,,5228.0,405.0,3501.0,11979.0,61364.0,,graffiti,sealed graffiti,base grade,normal,0,0
9280,Sealed Graffiti | King Me (Battle Green),b0c3d9,d2d2d2,0.03,0.03,0,,3544.0,90.0,516.0,2451.0,9444.0,,graffiti,sealed graffiti,base grade,normal,0,0
9281,Sealed Graffiti | King Me (Bazooka Pink),b0c3d9,d2d2d2,0.03,0.03,0,,1675.0,128.0,572.0,3015.0,11553.0,,graffiti,sealed graffiti,base grade,normal,0,0
9282,Sealed Graffiti | King Me (Blood Red),b0c3d9,d2d2d2,0.04,0.03,0,,744.0,86.0,609.0,2989.0,12934.0,,graffiti,sealed graffiti,base grade,normal,0,0
9283,Sealed Graffiti | King Me (Brick Red),b0c3d9,d2d2d2,0.03,0.03,0,,4854.0,118.0,606.0,2450.0,9970.0,,graffiti,sealed graffiti,base grade,normal,0,0
9284,Sealed Graffiti | King Me (Cash Green),b0c3d9,d2d2d2,0.03,0.03,0,,3687.0,54.0,400.0,2170.0,9020.0,,graffiti,sealed graffiti,base grade,normal,0,0
9285,Sealed Graffiti | King Me (Desert Amber),b0c3d9,d2d2d2,0.04,0.03,0,,878.0,234.0,786.0,2983.0,12084.0,,graffiti,sealed graffiti,base grade,normal,0,0
9286,Sealed Graffiti | King Me (Dust Brown),b0c3d9,d2d2d2,0.03,0.03,0,,3927.0,50.0,419.0,2121.0,11116.0,,graffiti,sealed graffiti,base grade,normal,0,0
9287,Sealed Graffiti | King Me (Frog Green),b0c3d9,d2d2d2,0.03,0.03,0,,3167.0,129.0,600.0,2237.0,9475.0,,graffiti,sealed graffiti,base grade,normal,0,0
9288,Sealed Graffiti | King Me (Jungle Green),b0c3d9,d2d2d2,0.03,0.03,0,,6176.0,75.0,572.0,2080.0,8991.0,,graffiti,sealed graffiti,base grade,normal,0,0
9289,Sealed Graffiti | King Me (Monarch Blue),b0c3d9,d2d2d2,0.03,0.03,0,,5206.0,70.0,579.0,3007.0,9946.0,,graffiti,sealed graffiti,base grade,normal,0,0
9290,Sealed Graffiti | King Me (Monster Purple),b0c3d9,d2d2d2,0.04,0.03,0,,726.0,127.0,837.0,3300.0,13612.0,,graffiti,sealed graffiti,base grade,normal,0,0
9291,Sealed Graffiti | King Me (Princess Pink),b0c3d9,d2d2d2,0.03,0.03,0,,2895.0,101.0,723.0,2520.0,9062.0,,graffiti,sealed graffiti,base grade,normal,0,0
9292,Sealed Graffiti | King Me (Shark White),b0c3d9,d2d2d2,0.04,0.03,0,,485.0,62.0,920.0,2655.0,10764.0,,graffiti,sealed graffiti,base grade,normal,0,0
9293,Sealed Graffiti | King Me (SWAT Blue),b0c3d9,d2d2d2,0.03,0.03,0,,5541.0,56.0,631.0,2450.0,8785.0,,graffiti,sealed graffiti,base grade,normal,0,0
9294,Sealed Graffiti | King Me (Tiger Orange),b0c3d9,d2d2d2,0.03,0.03,0,,5114.0,93.0,460.0,2552.0,8763.0,,graffiti,sealed graffiti,base grade,normal,0,0
9295,Sealed Graffiti | King Me (Tracer Yellow),b0c3d9,d2d2d2,0.06,0.07,0,,866.0,153.0,814.0,3562.0,14191.0,,graffiti,sealed graffiti,base grade,normal,0,0
9296,Sealed Graffiti | King Me (Violent Violet),b0c3d9,d2d2d2,0.03,0.03,0,,3178.0,77.0,657.0,2363.0,8792.0,,graffiti,sealed graffiti,base grade,normal,0,0
9297,Sealed Graffiti | King Me (War Pig Pink),b0c3d9,d2d2d2,0.03,0.03,0,,6472.0,62.0,355.0,2344.0,8592.0,,graffiti,sealed graffiti,base grade,normal,0,0
9298,Sealed Graffiti | King Me (Wire Blue),b0c3d9,d2d2d2,0.03,0.03,0,,3822.0,85.0,474.0,2791.0,11181.0,,graffiti,sealed graffiti,base grade,normal,0,0
9299,Sealed Graffiti | Kiss (Battle Green),b0c3d9,d2d2d2,0.24,0.18,1,LOW_SALES_WEEK,74.0,2.0,17.0,89.0,352.0,,graffiti,sealed graffiti,base grade,normal,0,0
9300,Sealed Graffiti | Kiss (Bazooka Pink),b0c3d9,d2d2d2,0.85,0.75,1,LOW_SALES_MONTH,50.0,1.0,21.0,74.0,334.0,,graffiti,sealed graffiti,base grade,normal,0,0
