,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
3061,★ StatTrak™ Skeleton Knife | Urban Masked (Well-Worn),eb4b4b,8650ac,319.42,429.55,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,0.0,6.0,ww,knife,skeleton knife,covert,unusual,1,1
3062,★ StatTrak™ Stiletto Knife,eb4b4b,8650ac,472.82,431.73,1,LOW_SALES_3PLUS_MONTHS,6.0,2.0,9.0,28.0,66.0,,knife,stiletto knife,covert,unusual,1,1
3063,★ StatTrak™ Stiletto Knife | Blue Steel (Battle-Scarred),eb4b4b,8650ac,278.49,270.25,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,1.0,5.0,bs,,,,,1,1
3064,★ StatTrak™ Stiletto Knife | Blue Steel (Factory New),eb4b4b,8650ac,499.9,499.91,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,1.0,3.0,fn,,,,,1,1
3065,★ StatTrak™ Stiletto Knife | Blue Steel (Field-Tested),eb4b4b,8650ac,374.99,294.76,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,9.0,19.0,ft,knife,stiletto knife,covert,unusual,1,1
3066,★ StatTrak™ Stiletto Knife | Blue Steel (Minimal Wear),eb4b4b,8650ac,322.7,304.37,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,1.0,7.0,mw,knife,stiletto knife,covert,unusual,1,1
3067,★ StatTrak™ Stiletto Knife | Blue Steel (Well-Worn),eb4b4b,8650ac,441.6,279.0,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,3.0,12.0,ww,knife,stiletto knife,covert,unusual,1,1
3068,★ StatTrak™ Stiletto Knife | Boreal Forest (Battle-Scarred),eb4b4b,8650ac,228.0,173.66,1,NO_SALES_3PLUS_MONTHS,1.0,0.0,1.0,3.0,8.0,bs,knife,stiletto knife,covert,unusual,1,1
3069,★ StatTrak™ Stiletto Knife | Boreal Forest (Factory New),eb4b4b,8650ac,200.38,271.31,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3070,★ StatTrak™ Stiletto Knife | Boreal Forest (Field-Tested),eb4b4b,8650ac,236.98,201.17,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,1.0,13.0,41.0,ft,knife,stiletto knife,covert,unusual,1,1
3071,★ StatTrak™ Stiletto Knife | Boreal Forest (Minimal Wear),,8650ac,369.73,230.01,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,2.0,3.0,mw,,,,,1,1
3072,★ StatTrak™ Stiletto Knife | Boreal Forest (Well-Worn),,8650ac,171.01,184.43,1,LOW_SALES_3PLUS_MONTHS,,0.0,2.0,3.0,5.0,ww,,,,,1,1
3073,★ StatTrak™ Stiletto Knife | Case Hardened (Battle-Scarred),eb4b4b,8650ac,399.0,292.68,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,1.0,7.0,bs,knife,stiletto knife,covert,unusual,1,1
3074,★ StatTrak™ Stiletto Knife | Case Hardened (Factory New),eb4b4b,8650ac,519.34,638.2,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3075,★ StatTrak™ Stiletto Knife | Case Hardened (Field-Tested),eb4b4b,8650ac,350.12,401.74,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,3.0,14.0,ft,knife,stiletto knife,covert,unusual,1,1
3076,★ StatTrak™ Stiletto Knife | Case Hardened (Minimal Wear),eb4b4b,8650ac,803.76,446.6,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,0.0,2.0,8.0,mw,knife,stiletto knife,covert,unusual,1,1
3077,★ StatTrak™ Stiletto Knife | Case Hardened (Well-Worn),eb4b4b,8650ac,642.79,420.0,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,2.0,10.0,ww,knife,stiletto knife,covert,unusual,1,1
3078,★ StatTrak™ Stiletto Knife | Crimson Web (Battle-Scarred),eb4b4b,8650ac,399.9,247.61,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,0.0,2.0,bs,knife,stiletto knife,covert,unusual,1,1
3079,★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested),eb4b4b,8650ac,549.26,416.68,1,LOW_SALES_3PLUS_MONTHS,5.0,0.0,0.0,3.0,16.0,ft,knife,stiletto knife,covert,unusual,1,1
3080,★ StatTrak™ Stiletto Knife | Crimson Web (Minimal Wear),eb4b4b,8650ac,870.98,514.77,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,1.0,3.0,9.0,mw,knife,stiletto knife,covert,unusual,1,1
3081,★ StatTrak™ Stiletto Knife | Crimson Web (Well-Worn),eb4b4b,8650ac,541.0,440.16,1,NO_SALES_3PLUS_MONTHS,1.0,0.0,0.0,0.0,1.0,ww,knife,stiletto knife,covert,unusual,1,1
